midpoint	h1x
36704.4335	0.0
88320.4285	0.0
128749.1315	0.0
166641.338	0.0
199762.466	0.0
239635.4215	0.0
271517.762	0.001
304754.155	0.0
343464.5085	0.0
387451.232	0.003
426880.4415	0.0
465735.987	0.001
499743.329	0.001
535735.6095	0.0
575803.6535	0.0
620356.7735	0.0
663855.852	0.0
699178.9295	0.0
734457.365	0.001
767090.698	0.0
796999.0625	0.0
830008.253	0.0
862963.0605	0.0
898593.0365	0.0
938762.475	0.0
986157.5155	0.0
1032999.0805	0.0
1074324.7025	0.0
1118489.1535	0.0
1158864.295	0.0
1194810.4135	0.0
1235261.29	0.0
1277326.0355	0.0
1316748.3045	0.0
1362646.233	0.0
1409537.8745	0.0
1444248.0785	0.0
1480700.797	0.0
1515143.353	0.0
1550870.415	0.001
1594692.541	0.0
1639932.378	0.0
1675049.9395	0.0
1705168.309	0.0
1740661.345	0.0
1773926.7775	0.0
1811898.191	0.0
1866549.493	0.0
1906210.5265	0.001
1939297.604	0.001
1974352.709	0.0
2007903.126	0.0
2043546.9105	0.0
2083539.3545	0.002
2123618.847	0.002
2159939.8195	0.002
2197117.343	0.001
2236750.1525	0.0
2275161.8185	0.001
2309362.2925	0.001
2343840.294	0.001
2376228.4265	0.001
2404859.0895	0.001
2430293.0255	0.002
2456360.59	0.009
2487019.9605	0.002
2514486.967	0.005
2539837.4275	0.001
2568534.384	0.001
2603442.5675	0.001
2634267.687	0.002
2662679.789	0.001
2689095.5385	0.001
2716707.9045	0.002
2745063.588	0.001
2776177.3745	0.001
2814504.197	0.0
2847543.103	0.008
2878099.5255	0.002
2917419.1325	0.004
2960293.098	0.002
2997241.393	0.003
3039264.65	0.002
3090770.081	0.0
3123132.3765	0.004
3155998.335	0.003
3190339.3215	0.004
3225960.313	0.003
3259647.8785	0.002
3328232.784	0.0
3388153.5645	0.0
3424481.1525	0.0
3463561.8105	0.0
3499123.132	0.001
3534718.615	0.001
3568174.925	0.0
3601440.0575	0.0
3642915.667	0.0
3684136.291	0.0
3721734.0445	0.0
3753808.1295	0.0
3786962.7285	0.0
3824120.1195	0.0
3859804.418	0.0
3895826.5235	0.0
3931319.301	0.0
3970725.1165	0.0
4012949.8145	0.0
4051117.716	0.0
4091990.3615	0.0
4124205.553	0.0
4160645.465	0.0
4194287.2835	0.0
4221884.7	0.0
4250111.617	0.0
4281259.8075	0.0
4313677.7895	0.0
4346185.7155	0.001
4378165.495	0.0
4415695.8835	0.0
4457039.615	0.0
4495750.8385	0.0
4534558.7755	0.0
4572062.8425	0.001
4608999.082	0.0
4648144.4845	0.0
4693143.1	0.0
4733523.3705	0.0
4767414.791	0.0
4808678.5535	0.0
4849700.03	0.0
4886208.222	0.0
4924588.246	0.0
4960884.6365	0.0
4998166.0945	0.0
5033064.9285	0.0
5071164.43	0.0
5107372.9835	0.0
5144354.7885	0.0
5178191.3705	0.0
5210516.737	0.0
5243189.9475	0.001
5275839.751	0.0
5311828.9825	0.0
5350963.306	0.0
5382807.306	0.001
5417887.401	0.0
5462231.0695	0.0
5507490.058	0.0
5552863.722	0.0
5587377.7175	0.0
5622982.447	0.0
5658066.699	0.0
5698557.926	0.002
5739519.611	0.001
5782242.518	0.0
5821837.4915	0.001
5856757.8355	0.001
5900282.797	0.001
5934275.1095	0.001
5965920.806	0.0
5999427.6565	0.001
6036985.317	0.0
6069931.491	0.001
6098786.417	0.0
6133820.6085	0.0
6182949.507	0.0
6220882.6	0.0
6253489.156	0.0
6295887.16	0.001
6347566.436	0.0
6388072.356	0.001
6420420.41	0.001
6456731.91	0.0
6490344.9405	0.0
6527281.908	0.0
6565509.0765	0.0
6597561.777	0.0
6626895.0725	0.001
6658968.665	0.001
6686600.043	0.001
6719672.339	0.001
6758855.533	0.0
6799400.965	0.0
6838257.9055	0.0
6880108.5315	0.001
6914003.6665	0.001
6946251.5955	0.0
6982907.857	0.001
7016001.213	0.0
7049782.096	0.0
7087005.359	0.0
7120963.308	0.0
7154945.5505	0.0
7190788.46	0.001
7230109.566	0.002
7275703.629	0.001
7328266.6355	0.001
7369990.622	0.001
7406898.462	0.001
7445718.646	0.0
7483370.2755	0.002
7517656.61	0.0
7554509.231	0.0
7590716.8425	0.0
7637756.445	0.0
7668772.094	0.002
7702906.4535	0.001
7741429.301	0.0
7778589.695	0.001
7817899.3965	0.0
7863571.2715	0.0
7906489.959	0.001
7958622.9995	0.0
8005467.247	0.0
8054018.1465	0.0
8101843.025	0.0
8159071.394	0.004
8201486.531	0.001
8240150.6355	0.002
8279556.8785	0.002
8318822.083	0.001
8358625.6665	0.001
8393921.114	0.005
8432930.888	0.011
8475091.728	0.0
8507785.2535	0.012
8548576.7295	0.005
8586838.6265	0.009
8622942.107	0.002
8674421.2725	0.002
8723173.2515	0.002
8764878.4825	0.003
8808837.5715	0.0
8846758.847	0.001
8883559.988	0.001
8919167.573	0.0
8962358.4575	0.001
9010911.5745	0.0
9046561.8915	0.001
9079747.5275	0.0
9124435.235	0.002
9164678.3075	0.002
9202224.1425	0.001
9240361.749	0.002
9283594.6665	0.0
9331257.285	0.001
9370605.176	0.0
9409061.0005	0.0
9442492.282	0.0
9482371.735	0.0
9522549.759	0.0
9568483.633	0.001
9609667.2075	0.0
9648228.7	0.001
9700379.856	0.0
9732620.414	0.002
9764652.2645	0.002
9803143.447	0.001
9847649.4505	0.003
9879222.1605	0.002
9916003.351	0.001
9953833.8645	0.0
9986175.277	0.001
10025071.4625	0.0
10073553.228	0.0
10110412.405	0.001
10147340.4735	0.0
10183178.0885	0.0
10217487.681	0.0
10250025.7845	0.0
10283334.9065	0.0
10326872.5805	0.0
10366574.2505	0.0
10405722.1415	0.0
10439190.3615	0.0
10477723.927	0.0
10520168.815	0.0
10562462.75	0.001
10594817.0605	0.0
10628472.2225	0.0
10665444.3115	0.0
10709677.469	0.0
10747884.244	0.0
10784798.1075	0.0
10817687.6915	0.002
10856626.5405	0.001
10899973.361	0.0
10930620.0345	0.001
10963743.1975	0.0
10996211.7615	0.001
11038867.837	0.0
11079723.1245	0.0
11119306.3505	0.002
11159740.899	0.002
11204870.7585	0.0
11249098.1845	0.001
11310247.5265	0.0
11362221.8595	0.002
11411496.6175	0.0
11445757.415	0.001
11479640.0985	0.001
11525891.6465	0.0
11562652.418	0.0
11611471.9465	0.0
11669774.654	0.0
11712656.9555	0.0
11761029.6985	0.0
11799220.1205	0.0
11845954.2465	0.0
11886407.5405	0.0
11917795.864	0.0
11947715.4525	0.0
11980290.2065	0.0
12015298.2425	0.0
12050024.8245	0.0
12091775.8595	0.0
12139044.4645	0.001
12181735.666	0.001
12219587.2205	0.0
12256314.178	0.0
12292872.7855	0.0
12337437.3405	0.0
12378652.129	0.0
12415951.647	0.0
12449501.746	0.0
12483912.759	0.0
12516591.4645	0.0
12552611.9345	0.0
12593623.227	0.0
12652980.9845	0.0
12722696.8595	0.0
12767996.5295	0.0
12815754.421	0.0
12864710.1815	0.0
12909292.273	0.0
12950449.0105	0.0
12986928.4375	0.0
13021334.778	0.0
13060356.044	0.0
13099771.247	0.0
13135263.3725	0.0
13191978.901	0.0
13260121.4105	0.002
13320052.734	0.006
13367957.2945	0.001
13423777.5375	0.001
13508331.7615	0.0
13558230.106	0.001
13596263.6955	0.0
13639397.13	0.003
13678716.001	0.002
13723057.912	0.001
13772631.233	0.0
13828802.383	0.001
13881561.601	0.0
13939855.632	0.0
13988380.5485	0.0
14025675.585	0.0
14065939.83	0.0
14110161.5445	0.0
14150155.8385	0.0
14185669.254	0.0
14219657.5935	0.0
14270019.422	0.0
14313544.668	0.0
14362595.438	0.0
14401219.302	0.0
14451946.46	0.0
14491873.1145	0.0
14520911.986	0.0
14560426.113	0.0
14607829.306	0.0
14654235.991	0.0
14696031.999	0.0
14736446.247	0.0
14774902.057	0.0
14818672.048	0.0
14869409.2995	0.0
14926480.5595	0.0
14992370.8625	0.0
15213719.7815	0.0
15261329.308	0.002
15287202.1515	0.002
15314618.4565	0.001
15355569.7885	0.0
15398336.3835	0.0
15434285.039	0.001
15468764.8975	0.002
15501591.286	0.003
15533071.6885	0.001
15566430.5965	0.0
15601775.6135	0.001
15631579.5845	0.001
15662488.58	0.0
15691566.3515	0.0
15735526.3405	0.0
15772577.1665	0.0
15803552.2055	0.0
15832130.785	0.001
15867300.4535	0.001
15903053.2675	0.0
15931386.219	0.001
15958683.63	0.0
15985452.2225	0.001
16010418.9185	0.001
16036750.79	0.001
16064124.521	0.0
16103070.619	0.0
16137351.9045	0.0
16179117.345	0.0
16210548.059	0.0
16243375.6025	0.0
16279976.3725	0.001
16308498.605	0.0
16337203.817	0.0
16361908.167	0.001
16386214.1545	0.0
16412794.1275	0.0
16440661.822	0.0
16470157.334	0.001
16496515.031	0.0
16521614.1815	0.0
16549567.1655	0.0
16577823.358	0.0
16605438.105	0.001
16635205.0245	0.0
16662397.669	0.001
16691693.605	0.001
16729322.162	0.0
16762938.6725	0.0
16796689.4135	0.0
16825996.609	0.0
16855508.138	0.0
16882563.9305	0.0
16910596.5485	0.0
16944095.758	0.0
16985691.727	0.0
17021137.314	0.0
17054223.819	0.001
17083215.6315	0.0
17123047.23	0.001
17182051.1735	0.001
17219747.978	0.004
17250282.9655	0.001
17297617.331	0.0
17356096.349	0.0
17391571.3955	0.006
17429690.146	0.0
17471437.0935	0.002
17508939.592	0.003
17540312.5165	0.002
17576153.12	0.002
17612596.1635	0.001
17642272.9975	0.002
17678370.3115	0.005
17714312.1395	0.001
17751221.282	0.0
17783651.602	0.004
17815775.842	0.003
17847359.3295	0.003
17876478.9895	0.008
17908664.327	0.002
17935678.0845	0.004
17966771.488	0.001
17997201.3235	0.004
18025719.263	0.006
18066070.7915	0.001
18103570.492	0.004
18141112.483	0.009
18171116.2845	0.007
18201378.367	0.002
18232638.524	0.001
18268113.678	0.0
18317721.3955	0.0
18360078.1475	0.002
18394997.0495	0.004
18432692.4935	0.002
18461955.654	0.006
18490165.4115	0.0
18523989.7645	0.0
18558892.876	0.001
18593556.073	0.001
18622411.0225	0.003
18652322.536	0.001
18683109.1345	0.002
18721854.8965	0.0
18759904.041	0.004
18811907.421	0.003
18854229.193	0.005
18887672.1265	0.002
18927311.507	0.005
18979900.5745	0.0
19028098.017	0.0
19070779.9265	0.001
19100871.02	0.005
19132241.7385	0.007
19164443.716	0.002
19200375.336	0.003
19235542.846	0.003
19270482.5215	0.001
19303342.805	0.002
19334927.001	0.003
19367805.0125	0.002
19397302.455	0.009
19425049.386	0.002
19453632.9115	0.004
19496235.822	0.001
19535232.6765	0.002
19567504.178	0.0
